Instance,RLJHN300,,,,,
,,,,,,
VEHICLE,4,,,,,
VEHICLE_TYPE,NUMBER,CAPACITY,COST,,,
V10,20,90,1,,,
V11,10,180,2,,,
V20,20,90,1.5,,,
V21,9,150,3,,,
,,,,,,
CUSTOMER,300,,,,,
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0,0,0,0,1,0.0;480.0
1,14,0,0,40,1,347.0;412.0
2,14,0,0,40,3,66.0;126.0#192.0;253.0#278.0;340.0
3,24,0,0,40,2,15.0;192.0#279.0;456.0
4,21,1,0,40,1,352.0;468.0
5,10,1,1,40,2,35.0;153.0#212.0;331.0
6,25,0,1,40,2,63.0;127.0#188.0;252.0
7,20,1,0,40,3,59.0;175.0#176.0;291.0#300.0;418.0
8,21,1,0,40,1,348.0;413.0
9,24,1,0,40,2,69.0;134.0#225.0;287.0
10,3,1,0,40,1,134.0;195.0
11,42,1,0,40,1,124.0;304.0
12,11,0,1,40,1,259.0;322.0
13,12,1,0,40,2,46.0;109.0#186.0;250.0
14,22,0,0,40,1,99.0;279.0
15,15,0,0,40,3,32.0;97.0#99.0;159.0#183.0;248.0
16,11,0,0,40,1,299.0;417.0
17,12,0,0,40,1,177.0;416.0
18,2,0,0,40,2,175.0;292.0#341.0;457.0
19,24,0,0,40,1,264.0;325.0
20,17,0,0,40,1,146.0;208.0
21,3,1,0,40,1,284.0;344.0
22,33,0,0,40,2,16.0;81.0#84.0;148.0
23,20,1,0,40,1,24.0;89.0
24,16,0,1,40,2,35.0;100.0#179.0;239.0
25,19,0,1,40,2,20.0;82.0#89.0;150.0
26,34,0,0,40,2,44.0;219.0#223.0;402.0
27,24,1,1,40,1,85.0;145.0
28,21,0,0,40,2,76.0;192.0#223.0;343.0
29,12,0,0,40,2,39.0;100.0#201.0;265.0
30,16,0,0,40,1,145.0;207.0
31,17,0,1,40,1,161.0;276.0
32,22,1,0,40,2,216.0;281.0#388.0;449.0
33,21,0,1,40,1,380.0;440.0
34,22,0,0,40,1,352.0;416.0
35,7,0,0,40,1,255.0;318.0
36,10,0,0,40,1,88.0;323.0
